Player,Squad,Pos,Age,Min,90s,Gls,Ast,TklW,Gls_per90,Ast_per90,xG_per90,npxG_per90,xAG_per90,KP_per90,PrgP_per90,Succ_per90,PrgC_per90,TklW_per90,Int_per90,SCA_per90,GCA_per90,SoT%,Cmp%
Abde Ezzalzouli,Osasuna,"FW,MF",20,1504,16.7,4,2,19,0.23952095808383234,0.11976047904191617,0.16167664670658685,0.16167664670658685,0.11377245508982035,0.718562874251497,2.6347305389221556,3.532934131736527,5.568862275449102,1.1377245508982037,0.23952095808383234,3.473053892215569,0.23952095808383234,40.0,66.5
Abdul Mumin,Rayo Vallecano,DF,24,922,10.2,0,0,9,0.0,0.0,0.03921568627450981,0.03921568627450981,0.0,0.09803921568627452,1.8627450980392157,0.4901960784313726,0.4901960784313726,0.8823529411764707,0.8823529411764707,0.5882352941176471,0.0,16.7,76.7
Abdón Prats,Mallorca,"FW,MF",29,416,4.6,1,1,0,0.2173913043478261,0.2173913043478261,0.15217391304347827,0.15217391304347827,0.30434782608695654,1.5217391304347827,1.7391304347826089,0.6521739130434783,0.2173913043478261,0.0,0.0,1.0869565217391306,0.2173913043478261,66.7,63.7
Abner,Betis,DF,22,607,6.7,0,0,9,0.0,0.0,0.2537313432835821,0.2537313432835821,0.014925373134328358,0.29850746268656714,2.388059701492537,0.44776119402985076,1.1940298507462686,1.3432835820895521,1.1940298507462686,1.1940298507462686,0.14925373134328357,20.0,71.8
Adnan Januzaj,Sevilla,FW,27,47,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,62.5
Adri Embarba,Almería,"FW,MF",30,1472,16.4,4,3,27,0.24390243902439027,0.1829268292682927,0.23170731707317074,0.18902439024390247,0.20731707317073172,1.9512195121951221,2.8658536585365857,2.8658536585365857,3.780487804878049,1.6463414634146343,0.5487804878048781,3.780487804878049,0.5487804878048781,40.4,63.9
Adrià Pedrosa,Espanyol,"DF,MF",24,229,2.5,0,0,1,0.0,0.0,0.04,0.04,0.27999999999999997,2.0,1.6,0.4,2.8,0.4,2.0,2.8,0.0,0.0,80.3
Adu Ares,Athletic Club,"FW,MF",20,84,0.9,0,0,2,0.0,0.0,0.11111111111111112,0.11111111111111112,0.22222222222222224,3.333333333333333,4.444444444444445,5.555555555555555,8.88888888888889,2.2222222222222223,2.2222222222222223,13.333333333333332,0.0,0.0,82.4
Agustín Marchesín,Celta Vigo,GK,34,171,19.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,70.7
Aihen Muñoz,Real Sociedad,DF,24,1756,19.5,0,1,23,0.0,0.05128205128205128,0.010256410256410256,0.010256410256410256,0.046153846153846156,0.717948717948718,2.923076923076923,0.9743589743589743,1.8974358974358974,1.1794871794871795,0.46153846153846156,1.8461538461538463,0.10256410256410256,33.3,76.0
Aimar Oroz,Osasuna,"MF,FW",20,2013,22.4,3,6,14,0.13392857142857142,0.26785714285714285,0.16071428571428573,0.125,0.125,1.4732142857142858,3.8392857142857144,1.3839285714285716,1.5625,0.625,1.0714285714285714,3.4375,0.4910714285714286,31.8,79.1
Aitor Fernández,Osasuna,GK,31,189,21.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.0,65.3
